_NAME_	Factor1	Factor2	Factor3	Factor4	Factor5	Factor6	Factor7	load	secondary
v000041	0.0318337717	0.7209141403	0.0828141632	0.0705373792	0.0176969464	-0.028850842	-0.133922524		
v000043	0.3168102624	0.067719441	-0.088724648	0.4441916663	0.6345155489	-0.278014962	-0.130429263	fac4	1
v000044	0.4120298324	0.2113822351	0.2148013091	-0.290331419	0.2260467727	0.452344034	0.2306219865	fac1	1
v000047	0.694626933	0.0737861615	0.149988023	-0.167587094	-0.34008189	0.2725769721	-0.106328489	fac5	1
v000048	0.0125188763	0.7560578998	0.2917483669	0.1171033574	-0.04701307	0.1019550054	-0.082837116		
v000050	0.3932281292	0.3850340836	0.1007379456	0.0987031543	0.4728837997	-0.036042719	-0.26419381	fac1	1
v000051	-0.050882131	0.0856624256	0.4946203275	0.3870405865	0.1626652265	-0.158959691	-0.143420712	fac4	1
v000052	0.1909668213	-0.009835482	0.604225953	0.0602109874	0.6245517211	-0.174840673	0.1512370162	fac3	1
v000053	0.7019390006	0.3196113659	0.1834146718	-0.19625531	0.1673357035	0.209299	0.0737619831	fac2	1
v000054	-0.002309197	0.5880261303	-0.459623117	0.3440754871	-0.151651912	-0.301882145	-0.081360281	fac3	1
v000055	0.670808103	0.1283939749	-0.468127944	0.2817303963	0.249343398	0.1776280941	0.3537766883	fac3	1
v000057	0.5305733873	0.5082271067	-0.382535974	-0.165536456	0.160361478	0.0706272831	-0.138419606	fac2	1
v000058	0.0697952657	0.8586213809	-0.244705328	0.0884938478	-0.070751521	-0.309190956	-0.119489728	fac6	1
v000059	-0.088026264	0.6049397272	-0.279121969	0.3641251431	-0.215575465	-0.336022084	0.5244163967	fac7	1
v000060	0.1351898468	0.8442394859	0.0735401233	-0.083881618	-0.080060442	0.0742392148	-0.14562149		
v000061	0.3467195846	-0.053361412	-0.056636129	0.7774917806	0.3487615007	-0.490175993	-0.014854518	fac6	1
v000062	-0.062532518	0.7929384143	0.3177584049	0.1429521754	-0.273172731	-0.025385031	0.325807681	fac7	1
v000066	0.4566080901	0.0174812007	0.4324948795	0.0018747132	-0.13120591	-0.144333823	0.7389430346	fac1	1
v000067	-0.205826448	0.0135785971	0.564267211	0.3721898388	0.357938583	-0.184647421	0.0339297089	fac4	1
v000068	0.1236459885	0.6668603155	0.2401096328	0.0687309668	-0.21837636	-0.390002836	-0.089171573	fac6	1
v000072	0.3203860874	-0.122772244	0.3638038221	0.1317511615	-0.548503075	0.435268988	0.2987997473	fac6	1
v000074	0.5463876511	-0.045368178	0.2718338465	-0.157156685	0.1520028578	-0.160668933	0.3463919267	fac7	1
v000075	0.1936845198	0.3493822824	-0.182661397	0.10429555	-0.476962691	-0.392021486	-0.088782954	fac6	1
v000076	0.5942514669	0.3044733001	0.0330903982	-0.102378057	-0.022435666	-0.336836157	-0.355002204	fac7	1
v000077	0.6357876598	0.0959008808	-0.274428768	0.1269583552	-0.214710916	-0.219558867	0.1490241031		
v000079	0.2721031099	0.2285058787	-0.409922246	0.5040965175	-0.198808507	-0.12359079	0.3095440586	fac3	1
v000081	0.0388944447	0.4399697894	0.0074265228	0.1461421848	-0.316234232	0.6592151281	0.0520704193	fac2	1
v000082	0.0866525266	0.5297738364	-0.469210429	0.0129220647	-0.224928194	-0.214147287	0.226136847	fac3	1
v000085	0.0070532535	0.1770384273	0.8669163934	0.0996013766	-0.205960549	-0.166735912	-0.145484974		
v000087	0.3394998724	0.1603788898	-0.24723312	0.7942579827	-0.194605195	-0.187510609	0.4179026808	fac7	1
v000088	0.3335122012	-0.086299915	0.5637418287	0.378583938	-0.156299869	-0.062903511	0.2714584716	fac4	1
v000090	0.3666169162	0.1074779487	0.2127106932	-0.195242107	-0.372559395	0.287440214	-0.17788747	fac1	1
v000095	0.4647412891	0.0320970654	-0.084086097	0.4012422212	-0.011268693	-0.108970122	-0.517217968	fac1	1
v000099	0.2932417227	0.3896838637	-0.204584003	-0.236110167	-0.091188425	-0.301062722	0.1319054625	fac6	1
v000100	0.7435415469	-0.086996655	-0.035275274	-0.252182715	-0.11856358	-0.238963314	0.0270164594		
v000102	0.5752243398	-0.042798739	0.4232515747	-0.057888935	-0.455714635	0.0748453998	0.3042056329	fac5	1
v000103	0.1180615415	0.3161139816	0.0882589297	0.1370317484	-0.335251949	-0.2436656	0.0389905942	fac2	1
v000105	0.8076178408	-0.105064698	0.1087505604	0.0159397582	-0.032462877	-0.005817963	0.0739258344		
v000106	0.1549390076	-0.271149683	0.0887385073	0.4945268823	0.072126629	-0.523223816	-0.02827418	fac4	1
v000107	0.8060277934	-0.013725113	-0.0064801	0.0939293495	0.1788295331	-0.214862921	0.2530775414		
v000111	0.2124097019	0.450530564	-0.408875537	0.0492617486	0.0264262536	-0.271863243	0.0361690618	fac3	1
v000112	0.0877786941	0.1570214538	0.0640503181	0.6849613854	-0.253369578	-0.126375241	-0.047967045		
v000113	-0.194167023	-0.440017722	0.7337285749	0.3320729466	0.0514764324	-0.209793622	-0.219919597	fac2	1
v000114	-0.017761578	0.0198519193	0.7445446375	0.0611022814	-0.252266719	-0.112573796	-0.185364388		
v000117	0.6761642146	0.0461475568	0.28914057	-0.255509448	-0.036926396	-0.204130531	0.3005544626	fac7	1
v000119	0.2758192913	-0.046235358	0.6027063101	-0.286956088	0.4072600683	-0.414728426	0.0289765081	fac6	1
v000120	-0.005887962	0.4344951135	0.0392672413	-0.110506396	-0.030515608	0.086737115	0.0646379716		
v000124	-0.261956261	0.0505302528	0.6634787155	-0.125369163	-0.284773336	-0.201898487	-0.100501218		
v000125	0.394576905	-0.113920199	0.1749103044	0.1347803308	0.0468968192	0.0410802768	-0.035500102		
v000126	0.2976548194	0.068528222	-0.424893977	0.6264062629	0.1416133462	-0.210147845	-0.054920827	fac3	1
v000128	-0.05154283	-0.239853726	0.2692981108	1.0598030651	-0.228438014	-0.173545217	-0.244801272		
v000129	0.1817044033	0.5415264649	0.207408523	-0.107743562	-0.25592539	-0.264471616	-0.435074762	fac7	1
v000130	0.7228342145	0.2090692389	-0.187718071	-0.02697743	0.0203797068	-0.078350178	-0.189407478		
v000131	0.2309528653	0.5899233153	-0.43803979	0.108034916	-0.103781416	-0.178384046	-0.079569502	fac3	1
v000133	-0.028080456	0.4329652199	0.2316849808	-0.183523894	0.0928797423	-0.147632286	0.0953949434		
v000134	-0.10857372	0.1210171966	0.6891921936	-0.041415488	0.0884688427	-0.147642677	-0.056748665		
v000137	-0.195874367	-0.395417357	0.3019889602	0.194932198	0.5042618711	-0.121726915	-0.13497278	fac2	1
v000139	0.7425566746	-0.11199209	-0.091449868	0.0228774915	0.0165227707	0.1870621091	0.0166660133		
v000140	0.0755751844	0.4409022653	-0.035052416	0.2255517045	-0.126290547	-0.136777152	-0.101748519		
v000141	-0.128764057	-0.207361522	0.5165733092	0.600244308	0.1997580722	0.1680770724	-0.2641737	fac3	1
v000142	0.3691355526	0.4013586158	0.002041196	0.0400208024	-0.020824465	-0.280489874	-0.116281261	fac1	1
v000143	0.0607813575	-0.243059239	-0.066840012	0.0882061922	-0.011280527	0.3064447785	-0.099470054		
v000144	0.475306764	0.0051011344	0.3162291718	-0.285265429	0.4268815637	0.0180973654	0.8228783411	fac1	1
v000145	0.2825831968	0.5448785717	0.2005632515	-0.411409037	-0.114381341	-0.035493483	-0.14767303	fac4	1
v000146	-0.157122128	-0.183219905	0.499811847	0.2593358354	0.2411925779	-0.104564812	0.3028380478	fac7	1
v000147	0.288711509	0.1612803835	0.1448628636	-0.158290557	0.5439002409	-0.506472532	-0.096759447	fac6	1
v000149	0.3924230769	0.0128196081	-0.067087811	-0.244540897	0.4894511595	-0.320227788	0.2850501644	fac1	1
v000153	0.5176130347	0.2184317552	-0.239133939	0.1524781277	0.0299572577	0.0529033936	0.2639589391		
v000154	0.1762449011	0.3587793499	-0.405457938	0.1142911888	0.1470727323	-0.267007472	0.3541540745	fac2	1
v000156	0.150364441	-0.091351256	0.4253834377	0.3447877921	0.5260015874	-0.132376639	-0.417865037	fac3	1
v000157	0.1944128545	0.4399591858	-0.225541832	-0.06360334	0.0011557977	-0.266189782	-0.040614657		
v000158	0.2572928874	-0.150318819	0.1102457874	0.1003147962	0.0293094072	0.7336260195	-0.695528745	fac7	1
v000159	-0.002532827	0.2944299417	0.2221431421	0.6795175603	-0.230629908	0.0833554708	-0.133836182		
v000160	-0.014955211	-0.130808949	0.5363131734	0.3052606622	0.5738503917	-0.46962522	0.1008699469	fac3	1
v000162	0.0923184549	0.091320701	0.0257662116	0.7379056349	0.1498819584	-0.329760394	0.2141539926	fac6	1
v000163	0.2863768334	0.1763411526	0.1071119176	-0.228939616	-0.25088216	0.0122255782	0.1099020946		
v000164	-0.174805039	0.4985629669	-0.226135237	0.1650853946	0.2163050249	-0.353427434	-0.192311028	fac6	1
v000165	0.1428721232	-0.219309434	0.2998007168	0.1911023751	-0.068700532	-0.0096275	0.1359430878		
v000168	-0.033587557	0.0039948966	0.1425041279	0.8212213992	0.1875463129	0.1453654214	-0.043801701		
v000171	0.3661720673	0.0748467616	-0.058712996	0.0015605432	0.2716406844	-0.120742179	0.3880838448	fac1	1
v000173	0.1186420454	0.0724056714	0.2240774624	0.4791979892	0.1600900337	0.3093013356	-0.230995612	fac6	1
v000174	0.0045421126	-0.044621636	0.1421780992	0.3123668324	-0.101151074	0.7705275376	-0.038133538	fac4	1
v000176	0.1978696128	-0.090699172	0.0861761368	0.0789346182	0.1718247363	0.7975046176	-0.71606429	fac7	1
v000177	-0.066060105	-0.26499178	0.2238577807	0.4063560283	-0.020862134	-0.032681693	0.0459776523		
v000178	-0.202614989	-0.044630379	0.4416276461	0.7601818541	0.2229391253	-0.104529816	0.1593133946	fac3	1
v000184	-0.196995852	0.5387416624	0.3005468885	0.3470013669	-0.020735226	0.2345838548	0.0254937097	fac4	1
v000186	-0.275580523	-0.175834389	0.4975213099	0.1080646129	0.4918966206	0.2598863743	-0.563689001	fac3	1
v000192	0.3642299837	0.3944470022	-0.556158613	0.1221636453	0.0934358618	-0.242683521	-0.015018803	fac2	1
v000193	-0.077874881	0.4678330551	0.1033543738	0.132358553	0.3965500925	-0.215909946	0.0988813659	fac5	1
v000196	0.2076452519	0.4876166575	-0.220975295	-0.023425711	0.1306724888	0.2020397299	0.0065243053		
v000197	-0.182411623	-0.165796721	0.5100747486	0.3438555698	0.213038602	-0.082814408	-0.226188255	fac4	1
v000199	-0.380761657	0.6962381399	-0.235638509	0.4615259716	0.1030063009	0.1190929245	-0.047484398	fac4	1
v000201	-0.022317559	-0.068377626	-0.000731097	0.6022226624	0.1506748329	0.2700149962	-0.227154061		
v000203	0.0293227262	-0.324721815	-0.001795763	0.4093592287	0.6704089064	-0.342487086	0.133072324	fac4	1
v000204	0.0734540435	-0.054240943	0.2571676107	0.1878112261	0.6886526937	-0.133114724	-0.064286833		
v000207	-0.015306578	0.2966523876	0.0459480517	0.2704830279	-0.344224271	0.5866490449	-0.320241322	fac5	1
v000210	-0.309080034	0.6277975687	0.0502254528	-0.030341113	0.0912368312	0.0675781165	-0.156966126	fac1	1
v000213	-0.077073326	0.5105036095	-0.293906413	0.2920851964	0.0631970401	0.1147379265	0.2248496058		
v000214	-0.078719571	0.1470836575	-0.02570482	-0.359080316	0.7047121047	-0.092714108	0.1809193989	fac4	1
v000215	-0.013908039	0.146479941	0.0405857217	-0.286347751	0.6888841633	0.1134063172	0.7380741612	fac5	1
v000216	0.019004657	-0.103738695	0.2717247809	0.1459228602	0.5081885585	-0.074646071	-0.038278265		
v000217	-0.070162502	0.4272935486	-0.286238859	0.0724323026	0.0529202881	-0.057963737	-0.005384252		
v000221	-0.11081972	0.0941979976	0.7130925872	-0.150390832	0.3482916268	0.0244810541	0.0327489406	fac5	1
v000222	-0.11085244	-0.160427141	0.396150098	0.270175081	0.3783172388	-0.143678694	-0.345174084	fac5	1
v000223	-0.092913493	0.4077647293	0.0143240043	0.3621925386	0.3877868297	0.1418876261	-0.202198112	fac5	1
v000228	-0.305947843	0.4149881345	-0.117294172	0.1268783798	0.1264400781	-0.244166994	-0.01906697	fac1	1
v000229	0.3011057159	-0.114055702	0.144997729	-0.057174332	0.0219745906	0.1042341821	0.6344515306	fac1	1
v000230	-0.277091964	0.5172415713	-0.225316104	0.1710595075	0.0303792673	-0.346201246	-0.179469072	fac6	1
v000231	-0.236635481	0.4562567547	0.00230092	0.1728589406	-0.250602324	-0.028108775	0.0115030182		
v000232	-0.323450783	-0.192941277	0.1696608468	0.2155268922	0.6668419001	0.0186140979	-0.276659231	fac1	1
v000234	-0.229412125	0.3528798085	0.0448846704	0.2879946196	0.0504995599	0.3454855986	0.2226177341	fac6	1
v000237	-0.079802161	0.0381049398	0.1357877296	0.7754033259	-0.051073297	0.0956549202	-0.148451339		
v000238	0.3868838565	-0.014410598	0.268301471	-0.022313801	0.1822212145	0.0920382357	-0.071767577		
v000239	-0.0999575	0.0522554878	0.2828562922	0.0611734863	0.0435271984	0.3519236124	0.3268167012	fac7	1
v000240	-0.221905171	-0.089528108	0.1922281916	0.1721009984	0.1660040655	0.3059419893	-0.166721516		
v000243	0.3639398292	-0.252971678	0.075363646	0.0032244947	-0.099821158	0.3954049009	0.5811952611	fac6	1
v000244	0.4340605323	0.1631998797	-0.095388909	-0.125349371	-0.011118255	-0.141524607	-0.255046472		
v000246	0.1418193402	0.1871254472	0.5682801399	-0.119337748	-0.100956914	0.0118714285	-0.047673206		
v000248	-0.190503618	0.2468685806	-0.297076021	-0.051436186	-0.085692051	-0.292352526	0.1609053617		
v000249	-0.336944839	0.4996846325	0.1228516271	-0.108741525	-0.225914219	-0.064124165	-0.104822011	fac1	1
v000250	0.4001275804	-0.092818984	0.1020960205	-0.090625497	0.0571834681	-0.080816661	0.0612438933		
v000254	0.1148534272	0.2168446593	-0.285408657	-0.134567636	0.0728441708	-0.174531938	-0.139117719		
v000255	-0.238770212	0.6572061281	-0.234967998	-0.153264956	-0.083216335	-0.09343496	-0.412105512	fac7	1
v000257	0.0142170697	0.268297734	-0.279505515	0.2567185613	-0.120192798	-0.050012159	0.1949871174		
v000258	-0.02635957	-0.141008189	-0.338359633	0.0077186849	0.1637642367	0.3584301474	-0.105180753	fac3	1
v000259	-0.031886381	-0.29077737	-0.471884414	0.4498148554	0.2881560197	-0.084361734	-0.044507948	fac4	1
v000260	-0.080301579	0.4056526288	-0.132623701	0.0281191692	0.2010636372	-0.39148839	-0.009080638	fac6	1
v000261	0.1303268221	-0.276551153	-0.246367097	0.3636502076	0.3851652534	-0.203893369	-0.187387509	fac4	1
v000263	0.0866470138	0.171077503	0.1073619136	0.1600474347	0.341459258	-0.204058094	-0.076112447		
v000265	-0.199358852	0.5179011364	-0.033663207	-0.031467442	-0.24892416	-0.193893036	0.1630365697		
v000266	0.0329291095	-0.130957261	0.3502007655	-0.14564962	0.3485429133	-0.157596024	-0.153581158	fac5	1
v000267	-0.269900328	0.5084541805	-0.02005137	-0.129345071	-0.171298595	-0.127846706	-0.004404947		
v000270	-0.071502954	-0.227846765	0.2815517748	0.4167601255	0.4522422067	-0.197386237	0.1454421627	fac4	1
v000271	0.3237783778	0.1575196772	0.298395717	0.0155348288	-0.093179036	0.0868796234	-0.054704509		
v000272	-0.059532284	0.1291619457	0.4155367695	-0.064602717	0.1083164323	-0.220360819	-0.381127773	fac7	1
v000276	0.0649381882	0.3753286557	0.0077279153	-0.183124543	-0.276190687	-0.129975598	-0.144849713		
v000279	0.0507789169	-0.041358661	0.2614300626	0.1960771092	-0.021158989	-0.107416435	0.2337896429		
v000281	-0.109799546	-0.34459675	0.2575563072	0.164751408	0.2031782536	-0.048920992	-0.107735781		
v000282	0.0493946836	0.2197311221	-0.306082152	-0.048040338	-0.048541115	-0.133610515	-0.154206585		
v000284	0.602929329	-0.021259268	-0.224693186	-0.270025153	0.3628521998	0.1027827639	0.2164754202	fac5	1
v000285	0.2620336286	-0.44247744	-0.004434342	0.5329595494	0.4250947189	-0.141656188	0.104613799	fac2	1
v000286	0.1428336887	-0.164054001	0.0302714426	0.0886532781	-0.373663768	0.6127293417	0.0922735397	fac5	1
v000287	0.2180680499	-0.049433416	-0.059398965	-0.017731512	0.3521555599	0.1579074066	-0.316988318	fac7	1
v000288	0.5472178107	0.0132068507	-0.156616558	-0.12066191	0.141666064	0.2065687737	-0.051560528		
v000289	-0.139768992	0.1302718058	-0.296755323	0.3912338371	-0.03287564	-0.351932727	0.1710152943	fac6	1
v000294	0.1877229812	-0.416579293	0.0926966851	0.0509983061	0.1285543358	-0.450054032	-0.250769865	fac2	1
v000296	0.3079768687	0.0648669181	0.0759464326	-0.299219081	0.1400764067	-0.305159224	-0.173644921	fac6	1
v000297	-0.01342929	-0.009272181	-0.045518005	-0.198701399	-0.092407049	-0.33672553	0.0527712655		
v000301	0.3765360295	0.1679391763	0.2395630258	0.1161328495	-0.166901758	0.0261213454	-0.086595022		
v000302	0.2173228326	-0.382861674	0.1779970557	0.4459427887	0.0052810167	0.0574144649	0.206629302	fac2	1
v000307	-0.229590548	-0.232386516	0.24882811	0.131302657	0.189529648	0.0365757824	-0.650540668		
v000308	0.0427427688	0.2703049503	-0.015743187	-0.120317761	-0.332355122	-0.278139323	0.0576512273		
v000309	0.2672244461	-0.310660529	-0.283540027	0.2623633951	-0.031487556	-0.24474992	0.0956127469		
v000310	0.1279217039	-0.352812394	0.3632038444	0.1408540981	-0.233935317	-0.121425751	0.6553050232	fac3	1
v000312	0.0433073678	0.1659753843	-0.416858598	-0.227071258	-0.072610762	-0.359242505	0.0674309497	fac6	1
v000314	0.4727375969	-0.061169945	0.1659483892	-0.185652456	0.0141846833	-0.043768534	0.4265066908	fac7	1
v000315	0.2409382675	-0.142674802	-0.289765631	0.0924379692	-0.083311931	-0.189701366	-0.209378436		
v000319	0.1984565336	-0.133712241	0.244868099	-0.214704437	0.0218636486	-0.236037968	0.1191807345		
v000321	0.143109604	-0.068473003	0.1723662019	-0.166231116	0.0429258478	0.0189231376	-0.543188675		
v000323	0.2071157026	0.2421377787	-0.183764018	-0.361013035	-0.125300776	-0.289362149	-0.141366058		
v000324	0.0977271495	-0.03160626	0.026099065	-0.34450509	-0.325241161	-0.095625793	-0.261838061	fac5	1
v000326	-0.167153007	-0.278230211	0.3056836683	0.4699987358	-0.016847805	-0.536172605	-0.012181586	fac4	1
v000327	0.0233220166	0.564186226	0.1233548943	-0.175169361	-0.108651982	-0.391231978	0.0001235702	fac6	1
v000333	-0.120954511	0.0312816705	-0.029998011	0.0248676855	-0.485868708	-0.119844051	0.0619496466		
v000336	0.0597712152	0.1668224219	0.2254604991	0.2375044674	-0.477677654	-0.130526306	0.1484700986		
v000340	0.0214698132	0.094682248	-0.198116347	-0.241644044	-0.300373941	-0.350985197	0.213575403	fac5	1
v000342	0.3239558885	0.0083306584	0.1751920929	-0.200985094	-0.441748735	0.0892347178	-0.245832824	fac1	1
v000346	-0.046588947	-0.103076423	-0.430105306	0.2130478254	-0.540510572	-0.312472678	-0.049987194	fac3	1
v000348	-0.025729507	0.1993998067	-0.259906416	-0.151555955	-0.282957421	-0.369567453	-0.028412959		
v000349	0.1933189203	-0.204504388	0.3824543254	0.2772665493	-0.265368836	-0.039138858	0.2029987329		
v000350	0.3727760756	0.0693477902	0.0079600389	-0.081332776	-0.24512793	-0.441142456	-0.032933842	fac1	1
v000353	-0.168311483	-0.029243866	0.088325407	0.1943504884	-0.609656736	-0.010769453	0.0086913823		
v000355	-0.199698574	-0.315758458	0.5184087711	-0.07829013	0.0246137719	-0.241741875	-0.38669205	fac7	1
v000356	0.0275363388	-0.133320358	-0.013336959	0.0432525013	-0.220462893	-0.133466231	-0.1542029		
v000361	0.0209860787	-0.104750757	0.1415025944	0.0680168656	-0.237698842	-0.264068434	-0.189113176		
v000368	0.1451936093	0.1309282902	-0.205315157	0.1968753467	-0.534131795	-0.477678298	-0.142747315	fac6	1
v000370	0.126071723	-0.027047653	-0.218460531	-0.024898062	-0.490708212	-0.194479292	-0.242822111		
v000373	-0.001275709	-0.366343688	0.0604575983	-0.001257294	0.5049840008	-0.240623996	-0.700253641	fac5	1
v000374	0.071972998	0.0970495161	0.5688693545	0.079183479	-0.619080485	-0.148792654	-0.044678344	fac3	1
v000375	0.1790971261	-0.271144394	0.1671623262	-0.48520606	0.2416804468	-0.127128697	0.7601373626	fac4	1
v000376	-0.009386268	-0.006641792	-0.584998085	0.2722189955	-0.180278648	-0.43715644	0.0094037439	fac6	1
v000378	0.0444073891	-0.497686431	0.3322755738	0.1733793363	0.0414880333	-0.138287675	0.023609524	fac3	1
v000380	0.0174005919	-0.407221029	-0.299033829	0.4546577063	-0.309672557	-0.2203769	-0.013633657	fac2	1
v000384	0.4043383463	-0.219251207	0.0908700965	0.0428902463	-0.01824484	-0.089278181	-0.424391382	fac1	1
v000386	-0.151333931	0.1936208835	-0.383764963	-0.181101862	-0.437341121	-0.443566317	-0.280705714	fac5	1
v000389	0.0530849503	-0.134968972	0.0202265761	-0.353096829	-0.142728761	-0.317979852	0.1310796098	fac6	1
v000390	0.2095042809	0.0431836237	0.2684056066	-0.150489682	-0.512785306	-0.079299773	-0.140877862		
v000394	-0.072014891	-0.21874823	0.2853267933	0.0067661011	-0.037260109	0.2790340072	0.5587717465		
v000395	0.3383807515	-0.348235973	-0.202086769	-0.049073693	-0.046566059	-0.097338029	-0.037344352	fac1	1
v000403	-0.005427041	-0.000355793	-0.097002459	0.0914915268	-0.030327745	-0.388586156	-0.12375421		
v000406	0.075920939	-0.309333986	-0.229599973	-0.247201928	-0.292563888	-0.016042333	0.1392797872		
v000408	-0.081728584	-0.127647755	0.0765378872	0.2988484223	-0.187147943	0.8136210026	-0.109586785		
v000416	0.0103621336	-0.159153802	-0.182230101	-0.097437521	-0.283227032	-0.250524561	0.1581301408		
v000421	0.0399179086	0.024886566	-0.401377097	0.2598969258	-0.256768629	-0.324770333	-0.114556713	fac6	1
v000422	0.143281524	-0.281226284	-0.070063485	-0.139057254	-0.35542836	0.4941825222	-0.302281636	fac5	1
v000425	0.1540074118	0.0086558997	-0.054633451	-0.376163391	-0.305478493	-0.24873575	0.1838808778	fac5	1
v000426	-0.359030138	-0.444691602	-0.271323196	-0.271468381	-0.180004794	-0.072028167	0.0398009954	fac1	1
v000427	0.0414961188	-0.13364486	-0.024972283	-0.465713809	-0.095295954	0.0017680225	0.1917196501		
v000428	0.1318350176	-0.199688526	0.1122621942	-0.285275297	-0.452652562	0.2054442566	0.1653757719		
v000429	-0.111465309	0.3313184364	-0.346217083	0.1682009362	-0.189444541	-0.084651041	-0.182404783	fac2	1
v000431	-0.119415937	-0.408467638	0.1612729826	0.0709116301	0.0501944628	0.2058438803	-0.375250754	fac7	1
v000437	-0.200528402	-0.613270838	-0.275354317	-0.261910488	-0.366071173	-0.2334254	0.0490800747	fac5	1
v000439	-0.381303255	-0.110225238	0.6578437787	0.0620119293	-0.034186243	-0.260995315	-0.066554465	fac1	1
v000440	-0.084806904	0.2736196404	-0.403898838	0.061842408	-0.0650661	-0.179051009	-0.028221806		
v000441	-0.233604198	0.058960114	-0.327878786	0.046715325	-0.448750489	-0.308669941	-0.198223433	fac3	1
v000446	0.0528897749	0.3416556817	-0.375489869	-0.05536044	-0.179689401	-0.06997344	-0.064816896	fac2	1
v000447	0.1650723242	-0.206375268	0.0851558869	-0.228753605	0.2094397286	-0.119437597	0.6380968889		
v000448	0.3335279084	-0.095950571	-0.123289145	-0.423144897	-0.331060089	0.0673015686	0.0655377958	fac1	1
v000449	0.0491638697	-0.268764287	-0.361402333	0.0273484033	0.0256630916	-0.253043488	0.0720093735		
v000452	0.0084259872	0.1244737543	0.0075297654	-0.143554188	-0.405392939	-0.008088142	-0.183192919		
