_NAME_	Factor1	Factor2	Factor3	Factor4	Factor5	Factor6	Factor7	load	secondary
v000001	0.2999303349	-0.043408322	0.063099111	-0.200400321	-0.080740747	0.3916740725	0.0756530194		
v000002	0.221754202	-0.041428804	0.3953957113	-0.115799605	0.1245016046	0.0512574365	0.1548978285		
v000003	0.2540797467	-0.057734035	0.3060117894	-0.128340888	-0.011380131	0.1002526778	0.0967336906		
v000004	0.4027808413	0.0176952896	0.2102539059	-0.032473473	0.1349911667	0.0332897634	0.1023796431		
v000005	0.303341916	0.0662096759	0.2565261796	-0.085376605	0.1649527714	0.0072165722	0.176317287		
v000006	0.1272632419	0.3074732975	-0.039457602	0.2134268275	0.0481917502	-0.028813098	0.0169817007		
v000007	-0.01266807	0.0852839262	0.6344407048	0.0177846935	0.1241056059	-0.102370287	-0.168282974		
v000008	0.2919152185	0.1641323624	0.4784143329	0.048000823	0.2136292755	0.0573578019	0.1489784127		
v000009	0.4031142836	0.1296750584	-0.008663406	-0.162452752	0.2941649675	-0.232269232	0.1107283131		
v000010	0.4263149679	0.2877807298	0.2729537434	-0.20908792	0.0841309575	0.1312303789	0.1141476522		
v000011	0.2341950436	0.1068150166	0.4484174226	0.0726734376	0.1028120995	0.1496437814	-0.018571363		
v000012	0.2705118756	0.1222753574	0.3768429778	0.0487426364	-0.054661737	0.2545919837	0.2030201565		
v000013	0.3029364993	0.2696282126	0.2350521694	0.0829211625	0.0392621687	0.0658048644	0.0213233841		
v000015	-0.130881195	0.4451907271	0.1326498063	0.2383146953	-0.118485291	-0.092823844	0.2474645211		
v000016	0.4199772425	0.1897538456	0.2561131946	0.0134238593	-0.437764381	0.4791473868	0.1141846293	fac5	1
v000017	0.3067140268	0.3730899972	0.243762657	-0.35055579	-0.141016415	-0.063571593	-0.040258467	fac4	1
v000018	0.5905755241	0.1333676818	0.1346640858	0.0198507102	-0.458861699	0.2832003269	-0.030679921	fac5	1
v000019	0.3521823514	0.0928803428	0.0804714957	0.3162784425	-0.269735996	0.584310652	0.0745767488	fac1	1
v000021	0.5010844773	0.1713101908	0.1890346338	-0.089072748	-0.533209565	0.3622328525	0.0987901164	fac1	1
v000022	0.645750801	0.2212084264	-0.081158234	0.1908361535	0.0471388528	-0.150716746	0.027532828		
v000023	0.2249600058	0.5103887393	-0.022746053	0.0105607355	-0.135420359	-0.414825905	0.2318513681	fac6	1
v000024	0.2046292114	0.0919370615	0.4287672743	0.3100045963	0.076199902	0.2428017858	0.4648741758	fac3	1
v000025	0.4043030653	0.3563582206	-0.166515259	0.1733060691	0.0998245434	-0.440536098	0.0626259766	fac1	1
v000026	0.026210857	0.3260382755	0.7642088995	0.1434923405	-0.170255327	-0.168343897	-0.285406044	fac2	1
v000027	0.4029454815	0.1652390241	0.3576675611	-0.405473246	0.1553502689	0.3769190031	0.1974308365	fac1	1
v000029	0.4902467364	-0.084851833	0.5803186541	-0.25429891	0.4379839303	0.0042939034	0.2898436299	fac1	1
v000030	0.501689397	0.2770128113	0.0745375079	-0.005868013	-0.113352262	0.55035614	0.16133959	fac1	1
v000031	0.7425260541	0.1377143506	0.0986023667	-0.235895846	0.0366809394	-0.093943382	-0.183123872		
v000032	0.699409109	-0.198290986	0.0529834819	-0.16289331	-0.114457888	0.2026420981	0.1581342697		
v000033	0.4842883291	0.3432337718	0.0901384315	0.0708949117	0.1777946529	0.0795119749	0.2907534917	fac2	1
v000034	0.1874885151	0.2612680805	0.7054123053	0.2782687156	-0.066577416	-0.043293947	-0.114065147		
v000035	0.0337274051	0.1660149107	0.514894033	0.5850146028	0.0169202738	0.2153077548	-0.200118562	fac3	1
v000037	-0.000893385	0.557516998	-0.018259226	0.5688990755	0.0181316689	-0.226679453	-0.202881518	fac2	1
v000038	0.0442431948	0.5012558583	-0.275832867	0.4864094635	0.2932127058	-0.214622443	-0.323527561	fac4	1
v000040	0.2503742337	0.100245193	0.5477006201	0.1896091409	0.3270150222	0.1556202064	-0.192923694	fac5	1
