_NAME_	Factor1	Factor2	Factor3	Factor4	Factor5	load	secondary
v000001	0.1894145418	-0.095165907	0.1556398866	-0.200384746	0.4074619744		
v000002	0.2364339817	-0.092668083	0.4043408896	-0.156103212	0.0120344		
v000003	0.2468854882	-0.095142626	0.2990544703	-0.11819182	0.1380141137		
v000004	0.3611415275	-0.002736706	0.2918010681	-0.104595198	-0.005468001		
v000005	0.3063434605	0.0312057775	0.3142254525	-0.167731115	-0.038920068	fac1	1
v000006	0.112345686	0.302522079	0.0413928362	0.1558822034	-0.059719305		
v000007	-0.028472837	0.0565303447	0.5851597553	0.090769081	-0.127394476		
v000008	0.2834277051	0.0945920081	0.5545115951	-0.038115324	-0.048582513		
v000009	0.3791584445	0.1682664072	0.0987848718	-0.289734306	-0.267620601		
v000010	0.3555009365	0.2460839672	0.3776887256	-0.246204804	0.1641610009	fac1	1
v000011	0.165069317	0.0471215792	0.516780416	0.0594022331	0.0753374125		
v000012	0.2787941751	0.0310986517	0.405806785	0.0260117104	0.2550003333		
v000013	0.2538569978	0.2382822933	0.3134976225	0.0583337077	0.0674536277		
v000015	0.0438597383	0.3919993167	0.055464487	0.2225269021	-0.021051355		
v000016	0.3704024851	0.1020397777	0.258262325	0.1208386688	0.6909478894	fac1	1
v000017	0.2761135027	0.386737672	0.213169134	-0.235541692	0.1964146143		
v000018	0.508081191	0.1163848075	0.1293605616	0.1576965526	0.5755289881	fac1	1
v000019	0.2427328022	-0.005988886	0.2012600664	0.3138226414	0.5718686221	fac4	1
v000021	0.4732991618	0.1208847962	0.1390887429	0.0639531791	0.6961363344	fac1	1
v000022	0.5887287386	0.2669911428	0.0406822407	0.1066213372	-0.093778186		
v000023	0.4045125326	0.5490738888	-0.119071829	0.0120430535	-0.151673204	fac1	1
v000024	0.3239483279	-0.050340867	0.4662772252	0.1565986956	0.0905222974	fac1	1
v000025	0.4543608881	0.4350702769	-0.119738035	0.0850036341	-0.35091666	fac2	1
v000026	0.0414597147	0.3083868756	0.6168077373	0.3552663087	0.0182250731	fac4	1
v000027	0.2878872136	0.0739940231	0.5086886618	-0.470330214	0.3261473329	fac4	1
v000029	0.4780572528	-0.151176996	0.6838405126	-0.418341813	-0.164067519	fac1	1
v000030	0.3594440254	0.1834095163	0.2659981243	-0.058133715	0.5480589946	fac1	1
