_NAME_	Factor1	Factor2	Factor3	Factor4	Factor5	load	secondary
v000031	0.5665576273	0.2070838465	0.2133260575	-0.204766258	0.0618646515		
v000032	0.6255707055	-0.206124281	0.1184280533	-0.186648098	0.3130149233	fac5	1
v000033	0.4708692354	0.2934332159	0.2536349166	-0.096939402	0.0064124789		
v000034	0.1977593927	0.2101570804	0.6469934418	0.3711911221	0.0183367235	fac4	1
v000035	-0.047658872	0.0844324186	0.5799104972	0.6037482168	0.0544747725	fac3	1
v000037	-0.011478755	0.5839869979	0.0439064478	0.5562660331	-0.247758821	fac4	1
v000038	-0.099196302	0.5649635744	-0.054814259	0.3775214869	-0.402466411	fac5	1
v000040	0.0786415465	0.0433299508	0.7165890565	0.1322830126	-0.081423326		
v000041	-0.034688654	0.7134439651	0.1763341091	0.0952858232	0.0238955748		
v000043	0.1859076428	0.1180585702	0.1862322934	0.1786315894	-0.663994974		
v000044	0.2689394122	0.1106638384	0.4446540901	-0.424455221	0.3094927872	fac4	1
v000047	0.5392103785	0.0772003594	0.1939537358	-0.037422662	0.5415279537	fac1	1
v000048	-0.036851774	0.7000169827	0.3627262671	0.1651710957	0.1556066934	fac3	1
v000050	0.1483492367	0.4080750488	0.3992225242	-0.034077771	-0.265026212	fac3	1
v000051	-0.03339217	0.0594457006	0.475164593	0.3871245289	-0.283299981	fac4	1
v000052	0.1978391136	-0.065782622	0.718954774	-0.144226625	-0.504410394	fac5	1
v000053	0.5294729203	0.2893130856	0.4079965934	-0.287296066	0.1954563998	fac3	1
v000054	0.0427359495	0.6639034025	-0.438635929	0.3441979489	-0.157787386	fac3	1
v000055	0.5909036728	0.1130449672	-0.156978422	-0.032803499	-0.032216288		
v000057	0.2921506309	0.5647449861	-0.092842646	-0.253930491	0.0780671232		
v000058	0.0686400225	0.9238483736	-0.192870138	0.1173406422	-0.119767701		
v000059	0.2462206475	0.5894404743	-0.399345533	0.2675888487	-0.162651355	fac3	1
v000060	0.0263379073	0.8326910821	0.1838541536	-0.016474954	0.216869317		
v000061	0.3942581835	0.0126879156	0.0378484567	0.5673181897	-0.715745792	fac4	1
v000062	0.1420863545	0.7032274598	0.2090670768	0.1884481568	0.1892180867		
v000066	0.7777270516	-0.067547362	0.2654326945	-0.095407606	0.0274074		
v000067	-0.118565645	-0.047418871	0.5486763018	0.2779627609	-0.449184987	fac5	1
v000068	0.2177997678	0.7080040128	0.1204736215	0.2058709214	-0.075079669		
v000072	0.4167841956	-0.234782837	0.2275230082	0.2441899653	0.6653442902	fac1	1
v000074	0.6292184861	-0.058630903	0.2775142994	-0.26899321	-0.122209603		
v000075	0.308496622	0.4476115335	-0.362419414	0.281056162	0.0486015111	fac3	1
v000076	0.4466208117	0.4245404169	0.0891674086	-0.007551764	-0.104397813	fac2	1
v000077	0.6838340752	0.1671480954	-0.276612969	0.1005285608	0.0178053696		
v000079	0.4158643637	0.2413219738	-0.399859254	0.3890049664	-0.042967957	fac3	1
v000081	-0.069471683	0.321298229	0.1274533632	0.1896633316	0.6868026429	fac2	1
v000082	0.2139563397	0.5740300568	-0.494717082	-0.007686227	0.0223737375	fac3	1
v000085	0.0972072309	0.1375720215	0.6521670608	0.309300791	0.0368329993	fac4	1
v000087	0.5627858712	0.1489773022	-0.273410778	0.6374824959	-0.151519011	fac1	1
v000088	0.503676621	-0.154158103	0.4304696626	0.3778072039	0.01208584	fac3	1
v000090	0.2363832475	0.0962856931	0.1978850545	-0.007337587	0.5496205085		
v000095	0.2356188917	0.1298986001	0.0495100785	0.4540893516	-0.095807331		
v000099	0.3603181339	0.4545482933	-0.228469405	-0.230449278	-0.050025986	fac1	1
v000100	0.7164959983	0.0020266398	-0.051361165	-0.218147345	0.0320692728		
v000102	0.7068002237	-0.089145048	0.2520630659	0.0549471695	0.4246395071	fac5	1
v000103	0.2504543762	0.342005075	-0.065140624	0.2534702698	0.051552443		
v000105	0.7356790425	-0.080412748	0.1852584571	-0.025400546	0.0946414374		
v000106	0.2905252017	-0.198151877	-0.02277801	0.4530642694	-0.534848241	fac4	1
v000107	0.8142861813	0.021487607	0.1042797983	-0.078125885	-0.208854225		
v000111	0.2214780195	0.5228911149	-0.328727638	-0.019123424	-0.174998453	fac3	1
v000112	0.1757378591	0.1584003114	-0.007295882	0.7215932916	-0.052809687		
v000113	-0.118878018	-0.458974291	0.5433035308	0.4390207201	-0.28831956	fac2	1
v000114	0.0483263793	-0.006095018	0.5262100183	0.2863530939	0.0948480023		
v000117	0.7624651112	0.0561243444	0.2384974747	-0.278331356	0.0131789985		
v000119	0.3103468032	-0.025578278	0.572453346	-0.331859942	-0.452301814	fac5	1
v000120	-0.013864446	0.401690645	0.0824223428	-0.104186731	0.1429090432		
v000124	-0.112104371	0.0302511745	0.3661213237	0.1230843306	0.0635731487		
v000125	0.3249169454	-0.115690833	0.2375070402	0.1056888829	0.0097978709		
v000126	0.2612081661	0.1348061025	-0.272416084	0.4620155136	-0.353350377	fac5	1
v000128	0.0354051994	-0.235912545	0.136292333	1.1279980268	-0.223715698		
v000129	0.0947720953	0.6230216709	0.1386713627	0.1322208349	0.081118379		
v000130	0.534124512	0.2934023613	-0.015118823	-0.045435461	0.0327575786		
v000131	0.1875946427	0.6630255407	-0.342305816	0.0981890744	-0.021118673	fac3	1
v000133	0.0296040828	0.4137881488	0.2167321584	-0.183641769	-0.086292958		
v000134	-0.046785946	0.0775986646	0.5785701594	0.0392765054	-0.132554292		
v000137	-0.238642492	-0.40616059	0.3649079682	0.0740562792	-0.497109252	fac2	1
v000139	0.5816532663	-0.096365651	0.0842500894	-0.05502696	0.187955368		
v000140	0.080879333	0.465176412	-0.030940792	0.269581843	-0.019391743		
v000141	-0.220791386	-0.276622145	0.5778373926	0.5789474251	-0.148741366	fac3	1
v000142	0.3370423031	0.46643236	0.0349494376	0.0660947015	-0.119315806	fac1	1
v000143	-0.061218871	-0.265938258	0.0219100126	0.0766319307	0.1945612419		
v000144	0.6514853954	-0.107399658	0.4052724699	-0.601018988	-0.155138924	fac4	1
v000145	0.188185476	0.5672936895	0.220015545	-0.279345713	0.2263396757		
v000146	0.0258050782	-0.269757041	0.4200081112	0.1417358476	-0.311868538	fac5	1
v000147	0.236304724	0.2418694137	0.2580139531	-0.286895734	-0.626347764		
v000149	0.4204713283	0.0496357478	0.0607485174	-0.476908935	-0.45548657	fac5	1
v000153	0.5082170175	0.2127463333	-0.092189551	-0.001550976	0.0473719207		
v000154	0.2992940653	0.3854653059	-0.327265218	-0.080266327	-0.282648229	fac3	1
v000156	-0.050541383	-0.07355597	0.6043400454	0.2606762459	-0.47666066	fac5	1
v000157	0.1867839812	0.5080643455	-0.182332193	-0.069265684	-0.125172241		
v000158	-0.243947711	-0.176527425	0.4175900997	0.1980110695	0.5230556649	fac3	1
v000159	0.0107065208	0.2501381087	0.205538056	0.7390347801	0.093793048		
v000160	0.1047173074	-0.142199236	0.5307371838	0.126683241	-0.772173059	fac3	1
v000162	0.2633372691	0.0854659478	0.0246587894	0.564442276	-0.482340138	fac5	1
v000163	0.3218923523	0.1746270349	0.0390662964	-0.142107186	0.2676261309		
v000164	-0.194458483	0.5658819954	-0.146901504	0.116963082	-0.408349039	fac5	1
v000165	0.2309206801	-0.255068488	0.2160820672	0.1896652021	-0.001980334		
v000168	-0.066244246	-0.063163036	0.2748943367	0.6778866523	-0.194169095		
v000171	0.4390987412	0.0599613054	0.0432750854	-0.213424235	-0.225958772		
v000173	-0.065240373	0.0141188389	0.41560856	0.4203233835	0.0465101145	fac3	1
v000174	-0.171670854	-0.182049988	0.3128177825	0.2913838347	0.5531761156	fac3	1
v000176	-0.352228652	-0.129505425	0.4688896262	0.1277900384	0.4806765395	fac3	1
v000177	0.0222340433	-0.296894565	0.1464733474	0.3892670047	-0.123817802		
v000178	-0.047784049	-0.131566681	0.413800375	0.6220931267	-0.401763675	fac3	1
v000184	-0.192719829	0.4338513109	0.3584131111	0.338621971	0.1395266353	fac3	1
v000186	-0.575043436	-0.217686442	0.6903210034	0.1076704256	-0.168595091	fac1	1
v000192	0.3041278645	0.4871339355	-0.3927755	0.0054594473	-0.204518835	fac3	1
v000193	-0.044730869	0.44845722	0.2174241742	-0.024828209	-0.406388616	fac5	1
v000196	0.0658885473	0.4702069574	0.0068972567	-0.122650014	0.1247311007		
v000197	-0.201611537	-0.194433237	0.4864763199	0.3557378986	-0.284993424	fac4	1
v000199	-0.40895248	0.6481665746	-0.077528901	0.3671504961	-0.06993511	fac1	1
v000201	-0.176512186	-0.107345075	0.1775180947	0.516942163	-0.037629911		
v000203	0.0739672133	-0.308615153	0.1332597811	0.1031943767	-0.794945075	fac2	1
v000204	-0.028721186	-0.068145545	0.468334694	-0.038805521	-0.566030896	fac3	1
v000207	-0.22424705	0.2299314812	0.1524623871	0.4125161626	0.6169364354	fac4	1
v000210	-0.378777882	0.5985213176	0.1372820678	-0.005342604	0.0223132215	fac1	1
v000213	-0.041493775	0.4616959954	-0.156750808	0.1426440692	-0.001196693		
v000214	-0.131825161	0.128983592	0.1902577441	-0.615333194	-0.441020803	fac5	1
v000215	0.1007818282	0.0207269068	0.2483536414	-0.68832733	-0.302622055	fac5	1
v000216	-0.045347737	-0.126807932	0.4081035257	-0.014068184	-0.409355259	fac3	1
v000217	-0.087109236	0.4447771832	-0.195833871	0.0189689901	-0.071316947		
v000221	-0.113174532	0.0082787049	0.7281954195	-0.182676102	-0.155258581		
v000222	-0.216106587	-0.151914701	0.458340509	0.2444591628	-0.411025859	fac5	1
v000223	-0.264646452	0.3708118059	0.2751822667	0.2229002802	-0.196025625		
v000228	-0.240671328	0.4325645938	-0.110612785	0.0883000777	-0.285997638		
v000229	0.486788897	-0.204087919	0.1196177804	-0.218533596	0.0861840622		
v000230	-0.242594097	0.5805705661	-0.230982689	0.1934521973	-0.295107634		
v000231	-0.145461889	0.4347992186	-0.079613142	0.2572466873	0.1156206241		
v000232	-0.487863341	-0.212320122	0.3753018886	0.0489400023	-0.502178565	fac1	1
v000234	-0.20198886	0.2334946923	0.1481085851	0.1784731036	0.1543317269		
v000237	-0.091724902	-0.003046773	0.1695702342	0.7556792201	-0.066640577		
v000238	0.2592688012	-0.029138982	0.3898288819	-0.067011139	0.0057870889		
v000239	-0.036143999	-0.080404503	0.311377147	-0.024292638	0.2066099688		
v000240	-0.343235877	-0.153811144	0.2950232957	0.1475638846	0.0538431973		
v000243	0.4660888778	-0.367977168	0.0980019669	-0.136640507	0.3547869706	fac2	1
v000244	0.2888206022	0.2483915494	-0.014808729	-0.073469741	-0.002188349		
v000246	0.1475033313	0.1469185259	0.4897917693	-0.000672175	0.1503007346		
v000248	-0.03483363	0.2883756018	-0.389101004	-0.058512818	-0.157117594		
v000249	-0.27971726	0.4907272457	0.0105698134	0.0486582662	0.1350750273		
v000250	0.3807765195	-0.073039191	0.1266715728	-0.122267685	-0.037173008		
v000254	0.040146001	0.2913891072	-0.210454571	-0.142166738	-0.11706513		
v000255	-0.371991401	0.723532758	-0.179526322	-0.01536923	0.0527910905	fac1	1
v000257	0.1110412125	0.2648718286	-0.273509871	0.1938293515	-0.004107452		
v000258	-0.21314066	-0.154524042	-0.131480555	-0.087996691	0.1282557721		
v000259	-0.07868863	-0.245027984	-0.32395045	0.2560115152	-0.386946254	fac3	1
v000260	-0.025658866	0.4598321733	-0.107743947	-0.034834843	-0.39492955	fac5	1
v000261	0.0276330765	-0.206720676	-0.089619054	0.202370444	-0.486733774		
v000263	0.0441387606	0.1880433699	0.2156751519	0.0533971187	-0.371769931		
v000265	-0.024715926	0.5145077842	-0.170320371	0.0429693666	0.0447559285		
v000266	-0.035312484	-0.117758341	0.3875190129	-0.171913713	-0.298106369		
v000267	-0.188099923	0.5127780725	-0.108305595	-0.030489288	0.0599242983		
v000270	0.0142846997	-0.265131517	0.3243743451	0.2167347814	-0.546251942	fac3	1
v000271	0.2657440212	0.1363259775	0.317626378	0.0711413188	0.1788606741		
v000272	-0.13999985	0.1660708324	0.3782627249	0.0595370547	-0.187240447		
v000276	0.0647170939	0.4198482943	-0.075251575	-0.021175487	0.1671511503		
v000279	0.2006828202	-0.081182456	0.1697343194	0.1593391117	-0.102344743		
v000281	-0.122953845	-0.354579174	0.2463168806	0.1372153943	-0.233034544		
v000282	-0.006072257	0.2881966779	-0.267281311	-0.018160223	-0.035996791		
v000284	0.4697895922	-0.01233275	0.0324685251	-0.493014075	-0.047014031	fac1	1
v000285	0.2635003345	-0.437841349	0.1249892011	0.2842174174	-0.504032216	fac2	1
v000286	0.0762421792	-0.257422672	0.0505221556	0.1518644453	0.6618688372		
v000287	-0.055199211	-0.024966412	0.1934996461	-0.098838344	-0.082796035		
v000288	0.3425147378	0.0294155673	0.0671618913	-0.209816893	0.1421919909		
v000289	0.0461440383	0.1681067262	-0.369839903	0.3127900212	-0.336036937	fac5	1
v000294	0.1799477514	-0.307203085	0.014445925	0.0874623202	-0.424228811	fac2	1
v000296	0.2356259853	0.1486133594	0.0938154811	-0.265221654	-0.197760743		
v000297	0.1047317993	0.0505951654	-0.187648249	-0.137912645	-0.144499368		
v000301	0.3293628316	0.1663351531	0.240417843	0.1890662162	0.165894111		
v000302	0.2999023407	-0.429664273	0.1574627257	0.3488916994	-0.068665015	fac4	1
v000307	-0.467073333	-0.194348853	0.3119698836	0.2436811533	-0.146081331	fac3	1
v000308	0.1823612308	0.3158373994	-0.19394813	0.0146253004	0.0655362097		
v000309	0.3406076219	-0.244610721	-0.313007697	0.1889401443	-0.222382702	fac3	1
v000310	0.4930139239	-0.433202485	0.0952819186	0.0967740095	0.0109048358	fac2	1
v000312	0.1263762285	0.2608508349	-0.475058534	-0.219408826	-0.157780595		
v000314	0.5844465899	-0.091765993	0.143352303	-0.277813212	0.041968086		
v000315	0.1770388107	-0.044834757	-0.2811998	0.1278981218	-0.093355169		
v000319	0.2864697389	-0.113565611	0.1414117904	-0.194921535	-0.121674418		
v000321	-0.101820507	-0.005433339	0.2362310996	-0.021509463	0.0509610331		
v000323	0.1813433176	0.3426641364	-0.226411419	-0.255400694	-0.007237162		
v000324	0.0517065638	0.0402940158	-0.105685984	-0.118312975	0.2307395451		
v000326	0.0589062978	-0.238172036	0.0687220817	0.5050916434	-0.511371293	fac4	1
v000327	0.12853124	0.6092072037	0.0134629897	-0.07949897	-0.118407593		
v000333	0.0461195855	0.0495750029	-0.267635236	0.1977375829	0.2068839362		
v000336	0.2616320381	0.1493728138	-0.005993079	0.3814619042	0.1846740475		
v000340	0.2252741882	0.1565392178	-0.404180983	-0.156964753	-0.007715168		
v000342	0.2402478406	0.0429490647	0.0731095614	0.0404198638	0.4397096104		
v000346	0.1124016429	-0.001098144	-0.663743402	0.373417506	0.0485341705	fac4	1
v000348	0.0876680685	0.2914185255	-0.418293381	-0.02890405	-0.044380065		
v000349	0.356703398	-0.247886036	0.2083385248	0.3309836182	0.0917952786	fac4	1
v000350	0.464412903	0.1679958958	-0.145006831	0.033142871	-0.094495272		
v000353	-0.001045615	-0.036318937	-0.184459306	0.416303337	0.3221186419	fac5	1
v000355	-0.218347553	-0.27663803	0.3535474384	0.1026494064	-0.196418728		
v000356	0.0463789147	-0.082746339	-0.125140066	0.1626603596	0.0306033176		
v000361	0.0775986919	-0.045255132	-0.029578036	0.2257783522	-0.050425349		
v000368	0.2903971074	0.2531535847	-0.449880792	0.4035057857	-0.020402078	fac4	1
v000370	0.1411770068	0.0746745511	-0.385886372	0.1975506648	0.1907690999		
v000373	-0.295455311	-0.24880312	0.2156997116	0.0042867185	-0.510088726		
v000374	0.2464958397	0.0864287941	0.2335331668	0.3805390717	0.3077910985	fac5	1
v000375	0.4367443916	-0.334190759	0.085346026	-0.68447832	-0.156559036	fac1	1
v000376	0.1206599895	0.1100893845	-0.677871286	0.2656554661	-0.279267923		
v000378	0.1265422822	-0.501499245	0.2142382971	0.1787919608	-0.19260992		
v000380	0.1443403881	-0.33969035	-0.455094263	0.5000115547	-0.102375146	fac3	1
v000384	0.2186222852	-0.135465174	0.1336686429	0.1403295787	-0.02339469		
v000386	-0.080139365	0.3394088016	-0.596743662	0.0604381084	-0.004282254	fac2	1
v000389	0.1974375341	-0.080417213	-0.166766995	-0.271918963	-0.068084121		
v000390	0.2526667577	0.0757890745	0.0541346205	0.1140128342	0.343584075		
v000394	0.1209510635	-0.356483721	0.2057260294	-0.094356148	0.192102342		
v000395	0.301408664	-0.280065561	-0.201949016	-0.053078144	-0.027662584		
v000403	0.0551878283	0.0826785091	-0.185059005	0.1354722775	-0.281261199		
v000406	0.1599019009	-0.274298353	-0.364128972	-0.17327269	0.2016672678		
v000408	-0.271450229	-0.256144621	0.2203337645	0.3234389414	0.6253550884	fac4	1
v000416	0.1803732506	-0.106983392	-0.373645993	-0.02515701	0.0006035686		
v000421	0.1095073668	0.1262351328	-0.495255783	0.3241633885	-0.129652063	fac4	1
v000422	-0.067731051	-0.28593378	-0.040608233	0.0346993963	0.6111549352		
v000425	0.3053886868	0.0586601505	-0.248265431	-0.264261475	0.1111868558		
v000426	-0.255824587	-0.404266563	-0.445741714	-0.187955152	0.0359562839	fac2	1
v000427	0.1063329392	-0.130584037	-0.111403422	-0.428395695	0.1525396151		
v000428	0.2084029153	-0.229641779	-0.057288802	-0.131966372	0.4979930314		
v000429	-0.13479658	0.3839603015	-0.340345957	0.2335339536	0.0334225022	fac3	1
v000431	-0.287272546	-0.407536668	0.1939331799	0.1488261981	0.0661045975		
v000437	-0.032275998	-0.531424812	-0.561345763	-0.111935435	0.0395338812	fac2	1
v000439	-0.217372905	-0.13955281	0.4094792658	0.1987371025	-0.209013245		
v000440	-0.057492067	0.3308572018	-0.393085703	0.0540516524	-0.098521624	fac2	1
v000441	-0.130767084	0.1594627561	-0.542591261	0.2498337665	0.0291541835		
v000446	0.0310272951	0.3957479637	-0.354761965	-0.010330435	0.1021836937	fac3	1
v000447	0.3862953578	-0.258660005	0.0374807989	-0.425398155	-0.182356632	fac1	1
v000448	0.3257987456	-0.060391735	-0.200566136	-0.305723194	0.3770072034	fac1	1
v000449	0.1172550166	-0.1959856	-0.397739154	-0.030599678	-0.235581367		
v000452	0.0034357295	0.1604209021	-0.122746593	0.0673882196	0.3021655803		
v000458	-0.020170631	0.0537892321	-0.382562345	0.0785757949	-0.1842394		
v000459	-0.600277727	-0.230387814	0.2748594419	-0.276231734	-0.253200272		
v000464	-0.141173942	-0.485522694	0.1921271712	0.3265282007	0.0048579657	fac4	1
v000465	-0.016904149	-0.249796331	-0.088052185	-0.126789382	-0.400595248		
v000468	0.2459726655	-0.144471633	-0.007422147	-0.367342586	0.0122916585		
v000469	0.0348535447	-0.17970621	-0.274528983	0.1491680025	-0.245174306		
v000474	-0.295338223	-0.409307314	0.0150736305	0.3864136488	0.6125454371	fac2	1
v000476	-0.292476227	-0.023137119	-0.431382901	-0.144831511	-0.121176385		
v000478	-0.051288628	0.1980444881	-0.384170431	-0.100998296	0.0717669338		
v000481	-0.145217815	-0.262055225	-0.376273377	-0.14642058	0.0292788453		
v000488	0.0777988022	-0.218260674	-0.121733677	-0.365868006	-0.074625339		
v000489	-0.129860774	-0.29241772	0.1363372635	0.2310164667	0.049932395		
v000491	-0.137845912	-0.191163636	-0.037430098	0.7306581821	0.0458760989		
v000495	-0.331854727	0.0871990978	0.1382758667	0.1969013929	-0.10671318		
v000499	-0.1419638	0.375026031	-0.286195429	-0.336134724	-0.076184902	fac4	1
v000504	-0.256518822	0.3272292286	-0.345291303	-0.044402319	-0.096616691	fac2	1
v000508	-0.242695247	-0.179287244	-0.020621617	-0.123147259	0.4489045933		
v000509	-0.022547008	0.0106386858	0.1040791606	-0.27306294	0.5107577487		
v000513	0.3206677229	-0.095674066	-0.22702158	-0.25661063	0.0742590199		
v000517	0.171556987	-0.237078914	0.0078991412	-0.33329493	0.0885673362		
v000518	-0.157587727	0.0903953752	-0.1788316	-0.024338608	0.1668096149		
v000525	-0.128149736	-0.009238908	-0.040296926	0.5537920307	-0.006795197		
v000527	-0.16415399	-0.12234063	0.1936664476	-0.362794509	0.1344407528		
v000529	-0.181590877	-0.19339351	0.2254429669	-0.663726601	-0.210658268		
v000530	-0.054991552	-0.123366994	0.4064779082	-0.588903347	-0.422596412	fac5	1
v000532	-0.089327723	-0.00552255	-0.279949549	-0.009545221	-0.01733618		
v000534	-0.325510035	0.2836015578	-0.302540624	-0.137451582	-0.023623838	fac3	1
v000538	-0.10341678	0.0601354015	-0.157658278	-0.46160853	0.0150043652		
v000542	-0.392131032	0.3046529162	-0.249252393	-0.114931238	0.0558027804	fac2	1
v000548	-0.160465282	0.1307851454	-0.307500423	0.0324280623	-0.150381465		
v000549	-0.231527309	-0.1653977	0.3309654465	-0.049205808	0.0033065489		
v000558	-0.298136434	-0.300870027	0.0842662661	0.0815857863	0.221148621		
v000562	-0.475094698	-0.087751264	0.2919535381	-0.102750783	-0.127138877		
v000566	-0.071125208	-0.109178067	-0.031466692	-0.454982255	-0.000135812		
v000567	-0.253754461	0.0840475594	-0.253238343	-0.102372012	-0.136975052		
v000568	-0.389060985	-0.102534214	0.3101005653	0.0249055637	-0.121066808	fac3	1
v000570	-0.091358954	-0.242366233	-0.126231741	0.6478618332	-0.006087839		
v000571	-0.376608424	-0.366788475	0.0722027648	0.0042496323	-0.193524661	fac2	1
v000576	-0.207000159	0.1054563745	0.2438190406	-0.178546752	-0.072804874		
v000577	-0.144854777	-0.053148543	-0.149597564	0.0465867202	0.1605625668		
v000584	-0.298241529	0.0631499828	-0.174874645	0.1286767409	0.0178668489		
v000586	-0.295821502	0.0179697091	-0.331030481	-0.225080409	-0.034221675		
v000591	-0.071121873	-0.115094057	0.1931295226	-0.106732101	0.3124929631		
v000594	-0.229008782	0.093484458	-0.135070263	-0.39436273	0.0005346566		
v000596	-0.297086309	-0.19472391	-0.003702445	-0.228724064	0.3341590584		
v000603	-0.524069277	-0.204702476	0.1007334925	-0.077112577	-0.374501832	fac5	1
v000606	-0.222889345	-0.051795504	-0.00006852	-0.293448542	-0.354252402		
v000607	0.0006045257	-0.094343466	0.1322273407	-0.239733152	0.3356917347		
v000608	-0.16925386	-0.195676624	0.0326914196	-0.123747577	-0.371872177		
v000612	-0.651067463	-0.176959979	0.2300159511	-0.135744514	0.1130949843		
v000619	-0.054363791	-0.35621501	-0.144276157	0.1394617262	0.5337058362	fac2	1
v000625	-0.456632297	-0.010721751	0.1518290281	-0.049535692	0.0581665048		
v000634	-0.042701085	-0.089280645	0.0458344396	-0.302468118	0.0165947083		
v000640	-0.21085414	-0.155985999	-0.003925612	-0.074375718	0.0736275664		
v000652	-0.307819845	0.0602818588	-0.072182144	-0.21104581	0.1085005637		
v000661	-0.494302231	-0.098918979	0.0919563567	-0.334964317	0.1370668637	fac4	1
v000664	-0.028894747	-0.096178484	0.0032570611	-0.565371939	-0.256621982		
v000670	-0.261410012	0.0721498291	-0.071376991	-0.169922305	-0.321234562		
v000680	-0.30774939	0.2875000401	0.0461558765	-0.223798281	0.1673167681		
v000681	-0.245367995	-0.367912006	-0.111695532	-0.215263723	0.2418613228		
v000684	-0.054790688	0.1315944229	0.0013587259	-0.313842029	0.1839440718		
v000685	-0.479606877	-0.135419009	0.1530081781	-0.123211316	-0.063142088		
v000688	-0.472941388	0.374491853	-0.215355392	-0.196177959	-0.034866864	fac2	1
v000690	-0.183214566	0.0525120477	-0.282005633	-0.05470879	0.0753084073		
v000691	-0.424124477	0.0596453449	0.0585907915	-0.096232672	0.4568817908	fac1	1
v000697	0.0320309685	-0.337158006	-0.254248066	-0.131565315	0.1931968144		
v000701	-0.204969102	0.2200137001	-0.095472606	-0.403132722	-0.051410195		
v000708	-0.514024985	0.1819049224	0.0852211995	-0.046081241	-0.049963127		
v000709	-0.358650955	-0.014394569	0.1043426971	-0.120479012	0.0226844002		
v000714	-0.168846292	-0.090688655	0.0013116632	-0.170792489	0.0714793636		
v000715	-0.460506184	-0.134660818	0.1592104763	-0.064078495	0.171938131		
v000716	-0.433950277	0.3148642475	-0.089552829	-0.123800232	0.0442682581	fac2	1
v000721	-0.419795616	-0.061819719	-0.164671599	-0.157043348	-0.077335825		
v000728	-0.185653928	-0.276451911	0.1063580219	-0.079983517	0.1882875691		
v000733	-0.311036032	-0.129015795	0.1740367399	-0.015581104	-0.167837104		
v000738	-0.307709381	-0.083403911	-0.105236308	-0.411358889	-0.186918624	fac1	1
v000739	-0.214832726	-0.110012921	0.2023566052	-0.086049668	0.0510783729		
v000740	0.0177973048	-0.012268833	0.0257334529	-0.269353155	0.4470883989		
v000743	-0.354349625	-0.010485876	0.0322855769	-0.174773109	0.2446210632		
v000744	-0.093591003	-0.293562517	0.0444340577	0.2247265971	-0.318824319		
v000745	-0.65343568	0.1080603207	-0.063998984	0.0313742053	-0.212278653		
v000765	-0.116533601	0.2050365971	-0.115174428	-0.245846387	-0.314854774		
v000768	-0.374766918	-0.04980919	0.0067985256	-0.283032216	-0.292952288		
v000771	-0.481766157	0.0160627166	0.0966531386	-0.013117933	0.0777309574		
v000776	-0.222012011	-0.228696533	0.0900952503	0.0795139795	0.1407376117		
v000778	-0.106986255	0.1036048863	-0.136729262	-0.20738433	0.0642418331		
v000779	-0.074249428	-0.367897649	-0.117305967	-0.008315777	0.1542979761		
v000789	-0.350374841	0.4027586475	-0.310032906	-0.080088326	-0.091753456	fac1	1
v000790	-0.314160751	-0.306745514	0.1077125872	-0.077492472	-0.133561799	fac2	1
