user	fac1	fac2	fac3	fac4	fac5	fac6	fac7
u000004	0	1	2	0	1	1	0
u000006	1	0	0	0	0	0	0
u000007	0	0	3	0	0	0	0
u000008	1	0	1	0	0	1	0
u000011	0	0	-1	1	0	0	0
u000012	1	0	0	0	0	1	0
u000013	0	0	0	2	0	3	0
u000014	2	2	0	0	0	-1	0
u000015	1	1	1	0	0	2	0
u000016	0	1	1	0	0	1	0
u000017	0	0	2	0	0	0	0
u000018	0	0	0	0	0	0	0
u000019	1	0	1	0	0	0	0
u000020	0	0	2	0	0	0	0
u000022	0	0	0	0	0	0	2
u000023	0	2	0	0	0	0	0
u000028	0	0	0	0	0	0	0
u000029	1	0	0	0	0	2	-1
u000031	0	0	0	0	0	0	0
u000032	0	1	0	0	0	0	0
u000035	0	0	0	0	0	0	0
u000036	1	1	2	0	0	0	0
u000038	0	0	0	0	0	2	0
u000039	0	0	0	-1	0	0	0
u000040	0	0	0	0	0	0	0
u000041	1	0	0	0	0	0	0
u000042	0	2	0	0	0	0	0
u000043	0	0	0	0	0	1	0
u000044	1	0	0	0	0	0	0
u000046	-1	0	0	0	0	1	0
u000048	0	0	0	1	0	0	0
u000049	0	0	0	-1	0	2	0
u000050	0	0	1	0	0	1	0
u000051	1	0	0	0	0	1	0
u000052	0	0	0	0	0	0	0
u000053	0	0	0	0	0	0	-1
u000054	1	1	-1	1	0	0	0
u000055	0	2	0	0	0	0	0
u000060	0	0	1	0	0	0	0
u000062	0	0	1	0	0	0	0
u000063	0	0	2	0	0	1	0
u000064	1	2	-1	-1	0	1	0
u000067	0	0	0	0	0	0	0
u000069	3	2	0	0	0	0	0
u000070	0	0	0	1	0	0	0
u000071	0	0	0	0	0	0	0
u000072	1	3	0	0	-1	-1	0
u000073	0	1	0	0	0	0	0
u000076	1	0	0	0	1	0	0
u000077	1	1	0	0	1	2	0
u000078	-1	1	-1	0	0	0	0
u000080	0	0	0	0	0	0	-1
u000081	0	0	0	0	0	0	0
u000082	0	0	0	0	2	-1	0
u000086	1	0	2	0	0	1	0
u000087	-1	1	0	0	0	0	0
u000088	0	0	0	0	0	0	0
u000089	3	0	-1	0	-1	1	0
u000091	0	0	0	0	0	0	0
u000094	0	0	0	0	0	0	0
u000096	0	0	0	0	1	-1	0
u000097	3	0	1	0	1	0	0
u000099	0	0	1	0	1	0	0
u000101	2	0	0	-1	0	0	0
u000102	0	1	0	0	0	0	0
u000104	0	0	2	0	-1	2	0
u000105	1	0	3	0	0	0	0
u000108	1	0	2	0	0	0	0
u000110	2	0	0	0	0	-1	0
u000113	2	0	1	1	1	0	0
u000115	1	0	0	-1	0	0	0
u000116	1	0	0	0	1	1	0
u000118	0	0	0	0	0	0	0
u000119	0	0	1	0	0	0	0
u000120	2	1	2	0	0	1	0
u000121	3	1	1	0	0	2	0
u000122	2	0	1	0	0	1	1
u000124	1	1	0	0	0	0	0
u000125	0	5	0	0	0	0	0
u000127	0	1	0	0	0	0	0
u000128	0	0	1	0	0	0	0
u000129	0	0	1	0	1	0	0
u000130	0	1	-1	0	0	0	0
u000135	0	2	2	2	0	0	0
u000136	0	0	0	0	1	0	0
u000137	0	0	0	0	1	0	0
u000139	0	0	0	0	1	0	0
u000140	0	0	0	0	1	0	0
u000141	0	0	0	0	1	0	0
u000142	0	0	0	0	1	0	0
u000143	0	0	0	0	1	0	0
u000144	0	0	0	0	1	0	0
u000145	0	0	0	0	1	0	0
u000146	0	0	0	0	0	3	0
u000147	1	0	2	0	0	1	0
u000148	1	2	2	0	0	1	0
u000149	0	0	0	0	0	0	0
u000152	0	2	1	0	0	0	0
u000153	1	1	1	0	0	0	0
u000154	1	0	1	0	0	2	0
u000155	2	0	1	0	0	0	0
u000160	0	1	1	0	-1	1	0
u000161	0	0	0	3	1	1	0
u000162	1	0	4	0	0	1	0
u000164	0	0	0	0	0	1	0
u000165	2	0	0	1	1	0	0
u000166	0	-1	0	0	1	0	0
u000167	1	0	0	0	1	1	0
u000168	3	0	0	0	0	0	0
u000170	0	0	0	0	0	1	0
u000171	0	0	2	0	0	-1	1
u000172	0	0	2	0	2	0	0
u000173	0	1	-1	0	0	0	0
u000174	1	1	0	-2	0	0	0
u000175	4	0	3	0	0	1	0
u000177	0	0	1	0	0	0	0
u000178	0	0	1	0	0	0	0
u000182	0	1	0	0	-1	0	0
u000183	0	0	0	0	0	0	0
u000184	1	0	0	1	0	0	2
u000185	0	0	0	0	0	0	0
u000187	0	0	0	0	0	0	0
u000189	0	0	0	0	0	0	0
u000190	0	0	0	0	0	0	0
u000193	1	1	0	0	0	1	0
u000194	1	0	0	0	0	0	0
u000196	0	1	0	1	0	0	0
u000197	0	1	0	0	0	0	0
u000201	0	0	0	0	0	0	0
u000204	0	0	-1	0	-1	0	0
u000205	1	1	0	0	0	0	0
u000209	0	0	0	0	0	0	0
u000210	1	0	0	0	0	0	0
u000212	0	0	-1	0	0	0	0
u000214	0	1	2	0	0	0	0
