u000003|u:007fagner|c:Anti-woke 
u000004|u:009saraiva|c:patriota , livre e de bons costumes . EMOJI_flag_brazil_e EMOJI_pirate_flag_e 
u000006|u:01_mrcia|c:Sou Cristã , de direita , amo o Brasil ! No Parler @Falcojorglen 
u000007|u:01_yamaoka|c:CRISTÃO - Conservador - Armamentista 
u000008|u:01azulsantos|c:Brasileiro , Prof Educação Física , ex Atleta Profissional e Patriota EMOJI_flag_brazil_e 
u000011|u:01seuvizinho|c:O Brasil está em um momento difícil , com valores invertidos . ' Mundo Bizarro ' se instalou aqui , esse é o nosso Brasil Bizarro , onde bandido é tratado como vítima 
u000012|u:021pauladiniz|c:Deus abençõe nosso Brasil ! É EMOJI_keycap_2_e EMOJI_keycap_2_e EMOJI_boxing_glove_e EMOJI_flag_brazil_e 
u000013|u:03nessa_22|c:Meu Twitter , minhas opiniões . Vascaína EMOJI_anger_symbol_e Curto um bom Rock ' n ' Roll EMOJI_guitar_e EMOJI_black_heart_e EMOJI_sign_of_the_horns_e Zero Mimizenta . O socialismo é a desgraça da humanidade ! 
u000014|u:071219701|c:Nascido no Brazil mas vivo no exterior por maior parte de minha vida . Atualmente chamo a Australia de lar mas o coracao ainda bate em verde e amarelo . 
u000015|u:0bat1sta|c:A liberdade é um bem inegociável . Conservador , democrata , luto pelo que acredito EMOJI_flag_brazil_e ( EMOJI_heart_suit_e EMOJI_ring_e ) Flamenguista até a morte ! HASHTAG#srn_h HASHTAG#crf_h EMOJI_heart_suit_e EMOJI_black_heart_e 
u000016|u:0cerebro|c:ᗩ mesma cσisa que fazemσs tσdas as nσites @Opink_- Tentar dσminar σ Mundσ EMOJI_globe_showing_americas_e Cristão Conservador EMOJI_flag_brazil_e HASHTAG#bolsonaro2022_h HASHTAG#euconfionapf_h EMOJI_oncoming_police_car_e - HASHTAG#deusvult_h @OCerebr0 
u000017|u:0dilodel|c:Cristão , pai , delegado de polícia civil , agropecuarista e patriota . 
u000018|u:0lh0quetud0v|c:Aquilo que tudo vê , menos a propria ignorância . 
u000019|u:0mabe01|c:Mestre em Etnomatemática , direita conservadora . 
