u000003|u:007fagner|c:Anti-woke
u000004|u:009saraiva|c:patriota, livre e de bons costumes.🇧🇷🏴‍☠️
u000006|u:01_mrcia|c:Sou Cristã, de direita, amo o Brasil ! No Parler @Falcojorglen
u000007|u:01_yamaoka|c:CRISTÃO - Conservador - Armamentista
u000008|u:01azulsantos|c:Brasileiro, Prof Educação Física, ex Atleta Profissional e Patriota 🇧🇷
u000011|u:01seuvizinho|c:O Brasil está em um momento difícil, com valores invertidos. 'Mundo Bizarro' se instalou aqui, esse é o nosso Brasil Bizarro, onde bandido é tratado como vítima
u000012|u:021pauladiniz|c:Deus abençõe nosso Brasil! É 2️⃣2️⃣ 🥊🇧🇷
u000013|u:03nessa_22|c:Meu Twitter, minhas opiniões. Vascaína 💢 Curto um bom Rock 'n' Roll 🎸🖤🤘 Zero Mimizenta. O socialismo é a desgraça da humanidade!
u000014|u:071219701|c:Nascido no Brazil mas vivo no exterior por maior parte de minha vida. Atualmente chamo a Australia de lar mas o coracao ainda bate em verde e amarelo.
u000015|u:0bat1sta|c:A liberdade é um bem inegociável. Conservador, democrata, luto pelo que acredito 🇧🇷 (♥️💍) Flamenguista até a morte! #SRN #CRF ♥️🖤
u000016|u:0cerebro|c:ᗩ mesma cσisa que fazemσs tσdas as nσites @Opink__- Tentar dσminar σ Mundσ🌎 Cristão Conservador 🇧🇷 #Bolsonaro2022 #EuConfionaPF 🚔 - #DeusVult @OCerebr0
u000017|u:0dilodel|c:Cristão, pai, delegado de polícia civil, agropecuarista e patriota.
u000018|u:0lh0quetud0v|c:Aquilo que tudo vê, menos a propria ignorância.
u000019|u:0mabe01|c:Mestre em Etnomatemática, direita conservadora.
u000020|u:0patriotas|c:Movimento ativista conservador
u000021|u:100_bolsonaro|c:#OLadrãoNãoSobeARampa #ImpeachmentAlexandreDeMoraes
u000022|u:100cfs|c:3,2,1 The and. Um Robozinho 🤖 segundo Joice. #FechadoComBolsonaro. Talibã Cristão segundo o Bruxo.
u000023|u:100goianooooooo|c:Oq me torna uma pessoa especial….é não ser PETISTA!!!!
u000025|u:100mercato|c:Ici, pas de rumeurs, que de l'officiel.
u000026|u:100profdaniela|c:Grupo de teatro infantil
u000028|u:10_naas|c:Não se cale.
u000029|u:10adrianogomez|c:+88,91 ❤🖤 No TT desde 2011 e atualmente utilizando essa conta nova.
u000030|u:10considerar|c:Ancap por desilusão.
u000031|u:10guilhermes|c:⚽
u000032|u:10jr9|c:Não perco a esperança Deus esta comigo!!!!
u000033|u:10ronaldgabriel|c:You'll never walk alone 👫
u000035|u:11debbygr|c:Brasil acima de tudo e Deus acima de todos. #Bolsonaro2022 #SomosTodosBolsonaro
u000036|u:12_rosiane|c:Não Importa A Pergunta Deus É A Resposta ARMAMENTISTA DIREITA CONSERVADORA NAMORANDO O AMOR DE MIM AGORA
u000038|u:12vrezende|c:Verdadeira💚 S.O.S forças armadas 🇧🇷
u000039|u:1370saa|c:Não vamos retroceder nem pra pegar impulso!!!!!
u000040|u:13pop_tiih|c:#Leonino 🦁 #Kpopper #TOMORROW_X_TOGETHER #TXT #Yeonjun #4thGenItBoy #Moa RJ 🌈 +18 year old #YoungRoyals #SimonForever
u000041|u:1414simone|c:Liberdade
u000042|u:142urgente|c:Feliz a nação cujo Deus é o Senhor
u000043|u:14_livre|c:🇧🇷
u000044|u:14thaise|c:BOLSONARO 2022
u000045|u:15032015r|c:Não biografiado.
u000046|u:153jesse|c:Acadêmico de contábeis🧮 baixista de uma banda 🎸 Balthromaw🔥
u000048|u:160995d77e20449|c:um cara do bem...
u000049|u:1610layla|c:😎🇧🇷🇮🇱🇬🇧🇵🇹
u000050|u:16_jean3|c:Radicalmente Cristão= Conservador.🇧🇷
u000051|u:170409221520sol|c:🇧🇷🇧🇷🇧🇷《Bolsonaro 22》🇧🇷🇧🇷🇧🇷
u000052|u:1733david|c:\" Vamos fazer deste grande País, uma grande Nação ! \"
u000053|u:17_dieguinho|c:MEU TT NOVO @_oconquistador
u000054|u:1808es|c:\"Uma mentira dá uma volta inteira ao mundo antes mesmo de a Verdade ter oportunidade de se vestir\" W. Churchill. Créditos: @oilustra #VoteBolsonaro22
u000055|u:1906_dino|c:Se há vida para além do SPORTING? Não sei, nunca a vivi!
u000058|u:1969jobes|c:masculino
u000060|u:1973agarcia|c:amo meu Brasil, conservadora
u000062|u:1977ega|c:PATRIOTA e ANTI ESQUERDISTA #Bolsonaroaté2026
u000063|u:1978_tes|c:Um conservador patriota que acredita no 🇧🇷
u000064|u:1983wagner|c:Todo o poder emana do povo, que o exerce por meio de representantes eleitos ou diretamente, nos termos desta Constituição.
u000067|u:19_ocnarfnal_38|c:Profile Dedicated to Metal Underground Nacional #Headbangers #DSBM #BM ➡️ SDV 🚫
u000069|u:19anamelo|c:Perdi essa conta dia 07-09-22 @hanahmelo19 Amo o meu Presidente Jair Messias Bolsonaro!! #FechadoComBolsonaro
u000070|u:19gapd|c:um cara interessante
u000071|u:19lawliet|c:Unite Christian, Muslim, and Jewish conservatives from around the world.
u000072|u:1_ser_pensante|c:LIBERDADE Se a liberdade significa alguma coisa, será sobretudo o direito de dizer às outras pessoas o que elas não querem ouvir.
u000073|u:1bairro|c:Sonho
u000076|u:1bressan|c:Liberdade individual e interesse coletivo sem viés doutrinário. Estado, só p o básico.
u000077|u:1carolcarolin|c:Then join in the fight 🇧🇷🌻🚛That will give us the right to be free! Longe vá temor servil: Ou ficar a Pátria livre, Ou morrer pelo Brasil.
