_NAME_	COMMUNAL
v000001	0.5584313555
v000002	0.688623846
v000003	0.9703800017
v000006	1.3334114063
v000004	1.3380646717
v000005	1.5156238114
v000980	1.6124627005
v000007	1.6916901744
v000011	1.7434501358
v000932	1.9192352869
v000824	1.9310699389
v000697	1.9351272936
v000481	1.9438493149
v000008	1.9585441223
v000889	2.010472534
v000994	2.0218721304
v000862	2.0981930064
v000426	2.1260518866
v000975	2.1324209008
v000013	2.135341187
v000015	2.1804762907
v000012	2.2078691752
v000607	2.2104549133
v000437	2.2607175903
v000779	2.263360566
v000861	2.2991602723
v000740	2.3179382482
v000009	2.31897831
v000768	2.3238368822
v000883	2.3455822734
v000738	2.3569308154
v000789	2.3764458833
v000406	2.3921945226
v000936	2.3949782004
v000959	2.3952912582
v000921	2.4012729552
v000509	2.4435122675
v000709	2.4572005266
v000852	2.4802338238
v000935	2.490900493
v000880	2.4960933481
v000634	2.5229242978
v000998	2.5282041341
v000010	2.5333464282
v000529	2.5344883636
v000518	2.5428415724
v000941	2.5433033648
v000803	2.5493475814
v000830	2.5497338676
v000567	2.5704823438
v000427	2.5842640952
v000973	2.600329851
v000586	2.6031168025
v000691	2.61837901
v000538	2.6219650512
v000685	2.6223446027
v000790	2.6237903573
v000468	2.6323713269
v000652	2.633838365
v000845	2.6448383853
v000603	2.6472182243
v000566	2.6536796524
v000680	2.654171865
v000923	2.6691637793
v000584	2.6838107481
v000816	2.6850897197
v000914	2.6894892037
v000681	2.6963474135
v000947	2.6969039499
v000619	2.7173830548
v000776	2.7255365135
v000797	2.7409701696
v000640	2.751031457
v000532	2.7643395551
v000596	2.7665021963
v000879	2.7742111854
v000571	2.775413216
v000577	2.7789073516
v000898	2.779362746
v000867	2.7822229636
v000744	2.783971707
v000684	2.7958845637
v000825	2.7967536339
v000733	2.8018786924
v000817	2.8076067268
v000017	2.8125100777
v000955	2.8129792306
v000271	2.8258921291
v000900	2.8273790682
v000143	2.8498914324
v000464	2.854815061
v000708	2.8561642028
v000661	2.8636311525
v000029	2.8706760948
v000865	2.8715157542
v000016	2.8716140713
v000743	2.8814962759
v000688	2.8835011704
v000568	2.8895411369
v000943	2.8991166138
v000664	2.9018414115
v000052	2.9022515901
v000594	2.9030579238
v000966	2.9045789858
v000324	2.9065769976
v000281	2.9087972601
v000452	2.9131041032
v000771	2.9170240804
v000558	2.9274787594
v000491	2.9343183065
v000690	2.956055857
v000950	2.9598766065
v000716	2.9604447794
v000701	2.9628783952
v000549	2.9649104258
v000258	2.972805213
v000422	2.9869633949
v000022	2.999136997
v000778	3.0009611119
v000428	3.0062503637
v000608	3.0073538138
v000310	3.0078771442
v000026	3.0103485695
v000745	3.0137344587
v000525	3.017898111
v000721	3.0218204666
v000024	3.0292120276
v000105	3.0296711054
v000715	3.0321334934
v000192	3.0417174102
v000739	3.0461395613
v000259	3.0483808776
v000448	3.0526283808
v000440	3.0549221567
v000037	3.0656792228
v000389	3.0669641553
v000348	3.0712827707
v000421	3.0763886262
v000517	3.0843757117
v000728	3.0885946251
v000111	3.0913230035
v000019	3.0992108778
v000025	3.1019754412
v000508	3.1051413051
v000018	3.1065115212
v000301	3.1102498985
v000625	3.1173789542
v000038	3.1189917011
v000370	3.1193961031
v000441	3.1198544936
v000459	3.1287341174
v000286	3.1293348014
v000314	3.132228286
v000027	3.1354973605
v000163	3.135645512
v000911	3.1379257963
v000562	3.1412265697
v000139	3.1422445701
v000288	3.1424259287
v000606	3.143706416
v000229	3.1471672948
v000542	3.152775525
v000239	3.1540561169
v000944	3.1579729796
v000395	3.1621077112
v000439	3.1645471087
v000023	3.1653421178
v000548	3.170133177
v000612	3.1715068355
v000041	3.187351367
v000488	3.1885104804
v000257	3.1924808013
v000053	3.1955312108
v000035	3.198086441
v000478	3.2021139028
v000040	3.2098682454
v000375	3.2118369084
v000378	3.2229018732
v000368	3.2229952595
